Label,cssSelector,tagName,group,relation,extraInfo,returnValue,teacherAppLangEN,studentAppLangEN
enterClassDetails,".form-heading, .add-class-details-heading",h1,classDetails,,isInitialized,,,
back_btn,div[class='my-3 create-class-header'] span:nth-child(2),button,classDetails,,,dashboard.page,,
enterClassName,"input[placeholder=""e.g. CS 2 English""]",input,classDetails,,,,,
startDate,"input[value=""Thu, Oct 3, 2024""]",input,classDetails,,,,,
endDate,"input[value=""Thu, Oct 2, 2025""]",input,classDetails,,,,,
enterYourSchool,"input[placeholder=""Enter your school""]",input,classDetails,,,,,
cancel_btn,"button[qid=""create-class-cancel-button""]",button,classDetails,,,,,
next_btn,"button[qid=""create-class-next-button""], button[qid=""t-cc-cd-btn-2""]",button,classDetails,,,,,
addClassMaterials,.materials-heading,h3,classMaterial,,,,,
cancel_btn_classMaterial,"button[qid=""create-class-cancel-button""], button[qid='create-class-2'], button[qid=""t-cc-cd-btn-1""]",button,classMaterial,,,createNewClass.page,,
addLater_Btn,"button[qid=""create-class-finish-button""]",button,classMaterial,,,,,
classSuccessfullyCreated,.heading,h3,successfullyCreated,,,,,
dashboard_btn,"a[qid=""go-to-dashboard-btn-id""], button[qid='class-created-success-1'], a[qid=""t-cc-sc-link-1""]",a,successfullyCreated,,,dashboard.page,,
cancelThisClass,"div[role=""document""] div div h3",h3,cancelModal,,,,,
yesCancel_btn,.btn-text.btn-yes.p-3,button,cancelModal,,,dashboard.page,,
noKeep_btn,"button[data-bs-dismiss=""modal""], button[qid='cancel-modal-2']",button,cancelModal,,,,,
addMaterial_btn,"button[qid='add-class-materials-button-3'], button[qid=""t-cc-cm-btn-1""]",button,classMaterial,,,,,
addMaterial_input,"input[qid=""material-modal-filter-input""], input[qid=""t-cc-mm-inpt-1""]",input,classMaterial,,,,,
dev_test_ebook_bundle_104_bundle,"div[class=""check""]",a,classMaterial,,,,,
addToClass_Btn,"button[qid=""material-modal-add-to-class-btn""], button[qid='add-material-save-7'], button[qid=""t-cc-mm-btn-2""]",button,classMaterial,,,,,
finish_btn,"button[qid=""create-class-finish-button""], button[qid='create-class-4'], button[qid=""t-cc-cm-btn-4""]",button,classMaterial,,,,,
dev_test_ebook_bundle_104_bundle_dropdown,"a[qid=""material-modal-component-0""]",a,,,,,,
classData,"a[qid=""cView-43""]",a,inviteStudent,,,"waitForDisplayed,addStudents, undefined, true",,
addStudents,"a[qid=""cView-73""]",a,inviteStudent,,,"waitForDisplayed,adultsRadio, undefined, true",,
adultsRadio,"label[for=""adult-radio""]",button,inviteStudent,,,,,
confirmationNextBtn,"button[qid=""typeSelect-4""]",button,inviteStudent,,,"waitForDisplayed,studentEmail_input, undefined, true",,
studentEmail_input,"input[name=""teacherEmail-0""]",input,inviteStudent,,,"waitForDisplayed,inviteStudentBtn, undefined, true",,
inviteStudentBtn,"button[qid=""CBulkEnrollment-4""]",button,inviteStudent,,,"waitForDisplayed,pendingTitle, undefined, true",,
pendingTitle,"h3[class=""heading3 pending-title""]",h3,inviteStudent,,,,,